visitorid,recency,frequency,monetary
172,35,1,2
186,37,1,1
264,11,1,2
419,51,1,1
539,94,1,1
627,29,1,1
795,25,1,1
914,32,1,1
964,66,1,1
1032,52,1,1
1636,134,1,1
1765,82,1,1
2019,97,1,2
2133,123,1,1
2216,73,1,1
2242,85,1,1
2468,137,1,1
2519,2,1,1
2598,68,1,1
2646,52,1,1
2807,6,1,1
3048,8,1,1
3104,119,1,2
3171,39,1,1
3174,29,1,1
3251,57,1,1
3258,87,1,2
3404,43,1,1
3465,95,1,3
3581,6,1,1
3847,82,1,1
3896,80,1,1
3926,31,2,3
3936,25,1,1
4061,125,1,1
4101,121,1,4
4113,60,1,1
4115,83,1,1
4241,99,1,1
4368,41,1,1
4537,12,2,2
4606,123,1,2
4694,94,1,2
4899,128,1,1
5042,68,3,3
5061,46,1,1
5117,101,1,1
5207,2,1,1
5423,41,1,1
5703,53,1,2
5939,7,1,1
6029,137,1,1
6190,132,1,1
6265,59,1,1
6390,41,1,1
6431,53,1,1
6468,32,1,4
6618,27,1,1
6699,133,4,4
6750,4,1,1
6855,52,1,1
6911,30,1,1
6952,9,1,3
6955,71,1,1
6958,68,1,4
7016,94,1,2
7244,78,1,1
7330,120,1,1
7633,1,1,1
7773,15,1,1
7969,108,1,1
8043,29,2,2
8083,2,1,1
8314,137,1,1
8411,7,2,2
8516,95,1,1
8670,30,1,1
8731,93,2,2
8876,135,1,1
8914,45,1,1
9079,30,1,2
9099,88,1,1
9145,8,2,3
9155,23,1,1
9235,69,1,1
9498,6,1,1
9519,52,1,1
10023,55,1,2
10248,67,1,1
10443,123,1,1
10539,87,1,1
10560,136,1,1
10685,42,1,1
11172,2,1,1
11209,37,1,4
11248,115,3,3
11287,73,1,1
11333,56,2,2
11438,3,1,1
11462,71,1,1
11508,91,1,1
12046,114,1,1
12067,28,1,1
12134,2,1,1
12148,108,1,3
12295,91,1,1
12356,25,1,1
12506,60,2,2
12579,53,1,2
13151,88,1,3
13240,25,1,1
13455,83,2,3
13764,98,1,1
13833,27,2,3
14618,59,1,1
14796,28,1,1
14885,72,1,1
14903,31,1,1
15218,65,1,1
15299,125,1,1
15318,53,1,1
15653,16,2,2
15852,44,1,1
16158,102,1,1
16357,121,1,1
16655,66,1,2
16766,55,1,1
16945,90,1,1
16975,84,1,1
17028,3,1,1
17067,64,1,1
17476,52,1,7
17569,127,1,1
17591,80,1,2
17629,15,2,2
17676,28,39,42
17746,115,1,1
17800,56,1,1
17857,42,1,1
17970,7,1,1
18024,15,1,1
18029,51,1,1
18032,127,1,1
18060,128,1,1
18195,134,1,1
18197,61,1,1
18424,37,1,2
18573,47,1,3
18688,74,1,1
19052,11,1,1
19206,42,1,1
19268,33,1,1
19500,62,1,1
19506,22,1,1
19512,31,1,1
19832,67,1,1
19967,69,1,1
20099,125,1,1
20167,70,1,1
20389,79,1,1
20815,25,1,1
20984,18,1,1
21048,105,1,1
21070,73,1,1
21079,85,1,1
21302,108,1,1
21574,24,1,1
21610,17,1,3
21712,83,1,6
21976,88,1,1
22079,10,1,1
22090,105,1,1
22276,96,1,1
22596,108,1,1
22666,66,1,1
22778,33,1,1
22944,105,1,1
