Dataset,Clustering,Metric,Official,Reproduced,AbsDiff
Aggregation,k-means++,ARI,0.7173820623237965,0.7112817227798832,0.0061003395439133135
Aggregation,DBSCAN,ARI,0.901835337112778,0.901835337112778,0.0
Aggregation,CLASSIX - distance,ARI,0.9159759325802468,0.9159759325802469,1.1102230246251565e-16
Aggregation,CLASSIX - density,ARI,0.9641847311887344,0.9641847311887344,0.0
Compound,k-means++,ARI,0.5749844677009646,0.580612399322446,0.005627931621481452
Compound,DBSCAN,ARI,0.9164033992471398,0.9164033992471398,0.0
Compound,CLASSIX - distance,ARI,0.8208854167070264,0.8208854167070264,0.0
Compound,CLASSIX - density,ARI,0.8458416088023509,0.8458416088023509,0.0
D31,k-means++,ARI,0.9554352639843172,0.954785597749651,0.0006496662346662241
D31,DBSCAN,ARI,0.3148207902881483,0.31482079028814836,5.551115123125783e-17
D31,CLASSIX - distance,ARI,0.8963271051765958,0.8963271051765958,0.0
D31,CLASSIX - density,ARI,0.8262695081061465,0.8262695081061465,0.0
Flame,k-means++,ARI,0.4202548435591535,0.40944024485706926,0.010814598702084233
Flame,DBSCAN,ARI,0.8362358447142196,0.8362358447142196,0.0
Flame,CLASSIX - distance,ARI,0.8695133875459655,0.8695133875459655,0.0
Flame,CLASSIX - density,ARI,0.9666558009707376,0.9666558009707376,0.0
Jain,k-means++,ARI,0.552751161834573,0.552751161834573,0.0
Jain,DBSCAN,ARI,0.938057731803488,0.9380577318034881,1.1102230246251565e-16
Jain,CLASSIX - distance,ARI,1.0,1.0,0.0
Jain,CLASSIX - density,ARI,1.0,1.0,0.0
Pathbased,k-means++,ARI,0.4797415258613849,0.4797415258613849,0.0
Pathbased,DBSCAN,ARI,0.7455786238379941,0.7455786238379941,0.0
Pathbased,CLASSIX - distance,ARI,0.6118139804466249,0.6118139804466249,0.0
Pathbased,CLASSIX - density,ARI,0.6803351554545519,0.6803351554545519,0.0
R15,k-means++,ARI,0.9927781994136302,0.9927781994136302,0.0
R15,DBSCAN,ARI,0.9001872883495454,0.9001872883495454,0.0
R15,CLASSIX - distance,ARI,0.9820854701480706,0.9820854701480706,0.0
R15,CLASSIX - density,ARI,0.9095021640376704,0.9095021640376705,1.1102230246251565e-16
Spiral,k-means++,ARI,-0.0056807099243277,-0.005585280889939624,9.54290343880759e-05
Spiral,DBSCAN,ARI,1.0,1.0,0.0
Spiral,CLASSIX - distance,ARI,0.9709789850297172,0.9709789850297171,1.1102230246251565e-16
Spiral,CLASSIX - density,ARI,1.0,1.0,0.0
Aggregation,k-means++,AMI,0.8304169330793516,0.8262205659174189,0.004196367161932724
Aggregation,DBSCAN,AMI,0.938303567498237,0.9383035674982368,1.1102230246251565e-16
Aggregation,CLASSIX - distance,AMI,0.9578057826993306,0.9578057826993307,1.1102230246251565e-16
Aggregation,CLASSIX - density,AMI,0.9655879738354648,0.9655879738354646,2.220446049250313e-16
Compound,k-means++,AMI,0.7185351251054185,0.7223416671407438,0.0038065420353252666
Compound,DBSCAN,AMI,0.8939580101411713,0.8939580101411723,9.992007221626409e-16
Compound,CLASSIX - distance,AMI,0.8313770037706772,0.8313770037706787,1.4432899320127035e-15
Compound,CLASSIX - density,AMI,0.888036624135647,0.8880366241356472,2.220446049250313e-16
D31,k-means++,AMI,0.9673001201832426,0.9668866707053103,0.000413449477932315
D31,DBSCAN,AMI,0.737946664694138,0.7379466646941417,3.6637359812630166e-15
D31,CLASSIX - distance,AMI,0.9373661000138492,0.9373661000138508,1.5543122344752192e-15
D31,CLASSIX - density,AMI,0.9252557345716456,0.9252557345716476,1.9984014443252818e-15
Flame,k-means++,AMI,0.3849341222421571,0.36808072242261897,0.01685339981953815
Flame,DBSCAN,AMI,0.7504008731586396,0.7504008731586396,0.0
Flame,CLASSIX - distance,AMI,0.8101141172291586,0.8101141172291583,3.3306690738754696e-16
Flame,CLASSIX - density,AMI,0.9356579552065292,0.9356579552065291,1.1102230246251565e-16
Jain,k-means++,AMI,0.5097629848341791,0.5097629848341766,2.55351295663786e-15
Jain,DBSCAN,AMI,0.8421252819620152,0.842125281962017,1.7763568394002505e-15
Jain,CLASSIX - distance,AMI,0.9999999999999976,1.0,2.4424906541753444e-15
Jain,CLASSIX - density,AMI,0.9999999999999976,1.0,2.4424906541753444e-15
Pathbased,k-means++,AMI,0.5577829862532563,0.5577829862532564,1.1102230246251565e-16
Pathbased,DBSCAN,AMI,0.7417171642674433,0.7417171642674433,0.0
Pathbased,CLASSIX - distance,AMI,0.6950244895066795,0.6950244895066796,1.1102230246251565e-16
Pathbased,CLASSIX - density,AMI,0.7311788622851216,0.731178862285122,3.3306690738754696e-16
R15,k-means++,AMI,0.9938103763245356,0.9938103763245356,0.0
R15,DBSCAN,AMI,0.9220368156197012,0.9220368156197005,6.661338147750939e-16
R15,CLASSIX - distance,AMI,0.9854491168409636,0.9854491168409636,0.0
R15,CLASSIX - density,AMI,0.9652747841605348,0.9652747841605344,4.440892098500626e-16
Spiral,k-means++,AMI,-0.0052662189275621,-0.005187834738038935,7.838418952316444e-05
Spiral,DBSCAN,AMI,0.9999999999999996,1.0,4.440892098500626e-16
Spiral,CLASSIX - distance,AMI,0.9598395602889038,0.9598395602889037,1.1102230246251565e-16
Spiral,CLASSIX - density,AMI,0.9999999999999996,1.0,4.440892098500626e-16
