Dataset,Clustering,ARI,AMI,Time
Aggregation,k-means++,0.7112817227798832,0.8262205659174189,0.05424650001805276
Aggregation,DBSCAN,0.901835337112778,0.9383035674982368,0.003692207974381745
Aggregation,CLASSIX - distance,0.9159759325802469,0.9578057826993307,0.012675125035457313
Aggregation,CLASSIX - density,0.9641847311887344,0.9655879738354646,0.011080458003561944
Compound,k-means++,0.580612399322446,0.7223416671407438,0.016489500005263835
Compound,DBSCAN,0.9164033992471398,0.8939580101411723,0.0018910840153694153
Compound,CLASSIX - distance,0.8208854167070264,0.8313770037706787,0.007878958014771342
Compound,CLASSIX - density,0.8458416088023509,0.8880366241356472,0.02221633301815018
D31,k-means++,0.954785597749651,0.9668866707053103,0.18581087497295812
D31,DBSCAN,0.31482079028814836,0.7379466646941417,0.014323916984722018
D31,CLASSIX - distance,0.8963271051765958,0.9373661000138508,0.24607604200718924
D31,CLASSIX - density,0.8262695081061465,0.9252557345716476,0.19949654099764302
Flame,k-means++,0.40944024485706926,0.36808072242261897,0.0052332080085761845
Flame,DBSCAN,0.8362358447142196,0.7504008731586396,0.001365666976198554
Flame,CLASSIX - distance,0.8695133875459655,0.8101141172291583,0.0030886660097166896
Flame,CLASSIX - density,0.9666558009707376,0.9356579552065291,0.009188874973915517
Jain,k-means++,0.552751161834573,0.5097629848341766,0.00843529199482873
Jain,DBSCAN,0.9380577318034881,0.842125281962017,0.002309042029082775
Jain,CLASSIX - distance,1.0,1.0,0.0035162499989382923
Jain,CLASSIX - density,1.0,1.0,0.0038588340394198895
Pathbased,k-means++,0.4797415258613849,0.5577829862532564,0.013460041023790836
Pathbased,DBSCAN,0.7455786238379941,0.7417171642674433,0.002676416013855487
Pathbased,CLASSIX - distance,0.6118139804466249,0.6950244895066796,0.005989499972201884
Pathbased,CLASSIX - density,0.6803351554545519,0.731178862285122,0.011236249993089586
R15,k-means++,0.9927781994136302,0.9938103763245356,0.03459100000327453
R15,DBSCAN,0.9001872883495454,0.9220368156197005,0.004576208011712879
R15,CLASSIX - distance,0.9820854701480706,0.9854491168409636,0.01211783301550895
R15,CLASSIX - density,0.9095021640376705,0.9652747841605344,0.026536541990935802
Spiral,k-means++,-0.005585280889939624,-0.005187834738038935,0.0218813749961555
Spiral,DBSCAN,1.0,1.0,0.0025208750157617033
Spiral,CLASSIX - distance,0.9709789850297171,0.9598395602889037,0.004439667041879147
Spiral,CLASSIX - density,1.0,1.0,0.010636624996550381
